time,open,high,low,close
2022-05-28T01:00:00+01:00,7395.44,7754.58,7330.18,7639.65
2022-05-29T01:00:00+01:00,7636.38,7670.4,7365.31,7447.22
2022-05-30T01:00:00+01:00,7449.96,8480,7383.3,8388.1
2022-05-31T01:00:00+01:00,8387.47,8537.61,7851.16,8064.31
2022-06-01T01:00:00+01:00,8055.96,8203.62,7303.34,7516.15
2022-06-02T01:00:00+01:00,7525.04,7618.49,7249.86,7586.06
2022-06-03T01:00:00+01:00,7585.76,7598.74,7123.59,7427.77
2022-06-04T01:00:00+01:00,7420.73,7590,7281.87,7566.05
2022-06-05T01:00:00+01:00,7568.67,7649.62,7302.71,7436.11
2022-06-06T01:00:00+01:00,7437.8,7822.48,7350,7467.87
2022-06-07T01:00:00+01:00,7464.07,7827.22,7115.96,7601.52
2022-06-08T01:00:00+01:00,7603.58,7795.62,7409.01,7439.63
2022-06-09T01:00:00+01:00,7440,7748.43,7354.59,7481.01
2022-06-10T01:00:00+01:00,7477.79,7620,6964.46,7061.79
2022-06-11T01:00:00+01:00,7061.23,7149.38,6264.54,6369.81
2022-06-12T01:00:00+01:00,6361.05,6471.69,5971.3,6012.88
2022-06-13T01:00:00+01:00,6006.59,6076.1,4722.9,4948.13
2022-06-14T01:00:00+01:00,4945.12,5112.57,4497.03,4893.01
2022-06-15T01:00:00+01:00,4892.45,5416.63,4282.99,5356.22
2022-06-16T01:00:00+01:00,5356.1,5475.88,4559.6,4595.75
2022-06-17T01:00:00+01:00,4605.03,4929.72,4555.69,4792.96
2022-06-18T01:00:00+01:00,4797.09,4878.83,4018.83,4374.95
2022-06-19T01:00:00+01:00,4374.95,4859.94,4131.38,4748.4
2022-06-20T01:00:00+01:00,4748.71,5032.74,4531.56,4927.24
2022-06-21T01:00:00+01:00,4925.17,5589.95,4843.81,5124.04
2022-06-22T01:00:00+01:00,5129.4,5343.05,4937.86,4980.15
2022-06-23T01:00:00+01:00,4984.03,5480,4924.26,5422.81
2022-06-24T01:00:00+01:00,5431.59,8087.99,5350.31,7099.63
2022-06-25T01:00:00+01:00,7109.73,7390.94,6557.08,7050.71
2022-06-26T01:00:00+01:00,7054.01,7143.19,6401.42,6452.32
2022-06-27T01:00:00+01:00,6441.11,6873.07,6096.42,6218.14
2022-06-28T01:00:00+01:00,6214.04,6286.09,5559.73,5650.84
2022-06-29T01:00:00+01:00,5652.11,5831.12,5420.38,5604.23
2022-06-30T01:00:00+01:00,5609.82,5702.83,5068.3,5419.1
2022-07-01T01:00:00+01:00,5409.1,5644.78,5192.02,5460.96
2022-07-02T01:00:00+01:00,5464.48,6073.64,5240,6024.03
2022-07-03T01:00:00+01:00,6024.76,6072.55,5524.83,5841.34
2022-07-04T01:00:00+01:00,5843.12,6500,5568.58,6370.89
2022-07-05T01:00:00+01:00,6368.31,6477.46,5950,6151.55
2022-07-06T01:00:00+01:00,6152.85,6480.51,6032.11,6315.44
2022-07-07T01:00:00+01:00,6315.43,6683.29,6169.51,6591.81
2022-07-08T01:00:00+01:00,6591.8,6897.64,6300,6302.51
2022-07-09T01:00:00+01:00,6305.35,6541.92,6300.66,6502.7
2022-07-10T01:00:00+01:00,6502.7,6504.2,5938.26,6042.91
2022-07-11T01:00:00+01:00,6037.46,6049.16,5456.63,5506.28
2022-07-12T01:00:00+01:00,5504.55,5773.83,5420.19,5446.86
2022-07-13T01:00:00+01:00,5444.6,5952.26,5300.47,5917
2022-07-14T01:00:00+01:00,5909.83,6196.42,5657,6007.5
2022-07-15T01:00:00+01:00,6009.99,6335.69,5932.04,6149.32
2022-07-16T01:00:00+01:00,6158.15,6400,5929.35,6265.13
2022-07-17T01:00:00+01:00,6262.4,6400.1,6026.66,6065.3
2022-07-18T01:00:00+01:00,6074.56,6666,6057.67,6609.6
2022-07-19T01:00:00+01:00,6604.34,6881,6265.35,6771.73
2022-07-20T01:00:00+01:00,6766.88,7017.79,6373.74,6492.97
2022-07-21T01:00:00+01:00,6499.42,6860,6221.3,6722.41
2022-07-22T01:00:00+01:00,6724.06,6886.49,6372.1,6569.83
2022-07-23T01:00:00+01:00,6574.27,6840,6293.99,6490.14
2022-07-24T01:00:00+01:00,6492.56,7461.67,6461.39,6982.23
2022-07-25T01:00:00+01:00,6980.49,7123.33,6254.83,6272.84
2022-07-26T01:00:00+01:00,6271.87,6877.73,6250,6857.7
2022-07-27T01:00:00+01:00,6860.92,7231.87,6632.63,7167.11
2022-07-28T01:00:00+01:00,7165.96,9790.82,7027.47,9137.38
2022-07-29T01:00:00+01:00,9143.18,11565.05,8655.75,10866.26
2022-07-30T01:00:00+01:00,10871.34,14200,10581.26,11774.91
2022-07-31T01:00:00+01:00,11768.07,12478.56,10735,10861.2
2022-08-01T01:00:00+01:00,10861.66,12226.05,10780,11612.85
2022-08-02T01:00:00+01:00,11614.33,11855.52,10615.36,10760
2022-08-03T01:00:00+01:00,10751.24,11242.79,10385.2,10709.35
2022-08-04T01:00:00+01:00,10724.71,11200,10423.42,10647.53
2022-08-05T01:00:00+01:00,10651.52,12400,10594.71,12263.14
2022-08-06T01:00:00+01:00,12264.39,12272.23,11600.62,11726.91
2022-08-07T01:00:00+01:00,11722.63,11740.12,11267.03,11436
2022-08-08T01:00:00+01:00,11433.62,11985,11281.28,11450
2022-08-09T01:00:00+01:00,11447.54,11563.21,10774.83,11201.53
2022-08-10T01:00:00+01:00,11192.67,11866.99,10761,11509.68
2022-08-11T01:00:00+01:00,11506.52,11799.99,11173,11296.01
2022-08-12T01:00:00+01:00,11299.05,11612.33,11045.08,11500.85
2022-08-13T01:00:00+01:00,11513.53,12227.23,11320.99,11420.97
2022-08-14T01:00:00+01:00,11427.34,11730.45,10961.4,11224.81
